
item_category,total_cnt,buy_cnt
90,1,1
8144,1,1
4527,4,2
7628,2,1
11844,2,1
12895,5,2
369,3,1
5069,3,1
6488,15,4
6668,27,7
11336,4,1
2468,4,1
11059,8,2
129,4,1
1529,4,1
13900,4,1
5105,4,1
5609,4,1
7912,4,1
11337,4,1
101,4,1
8680,4,1
13175,4,1
3842,14,3
2178,164,34
8039,5,1
11735,5,1
258,5,1
10423,5,1
5279,5,1
11074,5,1
8799,5,1
6098,10,2
1614,5,1
11754,56,11
2949,1907,373
7790,16,3
1497,11,2
11531,39,7
5806,30,5
2867,6,1
2392,6,1
11828,6,1
8054,6,1
10196,6,1
3038,6,1
8821,6,1
3043,6,1
8434,6,1
13040,169,28
5835,25,4
1157,82,13
4469,38,6
299,13,2
10601,7,1
11722,14,2
12077,14,2
1075,7,1
12405,7,1
11620,7,1
10865,7,1
7505,7,1
1664,21,3
13758,7,1
12071,7,1
6814,7,1
8518,57,8
1908,15,2
1040,53,7
1393,38,5
8166,70,9
12792,8,1
5008,16,2
12473,16,2
7913,24,3
12260,8,1
2472,8,1
1676,8,1
10960,24,3
11591,8,1
8134,8,1
9703,16,2
12232,8,1
9683,8,1
7126,8,1
11328,8,1
9398,8,1
13360,32,4
9121,16,2
13206,8,1
2940,16,2
6544,137,17
7889,118,14
3457,76,9
7456,17,2
13122,17,2
8439,147,17
1714,26,3
577,35,4
9156,18,2
12104,27,3
10438,9,1
7284,9,1
3603,9,1
7128,9,1
9531,9,1
2938,9,1
10868,9,1
2496,27,3
6980,9,1
5322,9,1
6666,36,4
6352,9,1
1917,9,1
6394,9,1
1273,9,1
11280,9,1
5814,130,14
10405,180,19
11006,19,2
5816,38,4
3928,48,5
11308,77,8
7575,29,3
2423,29,3
2325,29,3
3565,29,3
11861,147,15
3811,10,1
8589,20,2
13044,20,2
8843,20,2
7445,20,2
3664,20,2
9037,10,1
9087,10,1
3826,10,1
13888,20,2
2240,40,4
14046,10,1
5404,10,1
5868,10,1
12589,10,1
2320,10,1
7384,113,11
5379,134,13
12309,248,24
11112,42,4
8115,106,10
11344,32,3
4417,32,3
12616,11,1
2559,11,1
9851,33,3
7059,11,1
9604,11,1
11867,11,1
12549,11,1
2978,11,1
2556,11,1
12064,11,1
10551,33,3
8245,11,1
1768,11,1
7214,11,1
7843,134,12
4433,45,4
4016,79,7
3061,34,3
10220,34,3
3804,23,2
8741,23,2
4868,46,4
2516,46,4
3610,23,2
12642,23,2
11659,23,2
10608,35,3
1436,82,7
2424,47,4
1186,48,4
6193,12,1
12794,12,1
2519,12,1
2098,12,1
636,12,1
10755,12,1
3553,12,1
6501,12,1
4299,12,1
9689,12,1
5126,24,2
1034,60,5
6696,12,1
3374,12,1
7854,48,4
8643,12,1
12514,801,66
9570,110,9
8579,295,24
10557,37,3
11604,407,33
1065,37,3
11527,37,3
11174,25,2
4118,25,2
2167,50,4
3542,88,7
3035,38,3
10121,3385,267
5315,77,6
6469,103,8
7125,206,16
3094,13,1
1220,13,1
7439,13,1
1922,13,1
8241,13,1
5851,13,1
12255,13,1
465,13,1
12225,13,1
506,13,1
4596,26,2
3037,13,1
937,13,1
1911,865,66
5028,80,6
12096,188,14
2239,27,2
5554,270,20
3459,27,2
3896,27,2
1227,191,14
11511,41,3
4038,55,4
5586,110,8
13998,14,1
3930,14,1
11613,42,3
5035,14,1
13020,14,1
14016,28,2
7589,14,1
6688,28,2
6894,14,1
7115,14,1
12846,28,2
4776,733,52
145,85,6
9622,185,13
2510,517,36
5746,747,52
11953,72,5
2852,29,2
13781,29,2
12363,58,4
2229,116,8
572,29,2
12400,29,2
3403,175,12
2761,44,3
10485,44,3
1480,75,5
8028,15,1
14073,255,17
4223,15,1
8524,30,2
8101,15,1
3031,45,3
6123,30,2
7666,15,1
12933,15,1
3556,15,1
6878,15,1
4098,15,1
13290,15,1
4324,15,1
7774,15,1
2340,15,1
4730,15,1
7814,15,1
7229,1021,68
4751,586,39
9727,317,21
564,167,11
6503,61,4
11704,107,7
5919,1083,70
13677,31,2
9251,62,4
9560,31,2
6463,62,4
3782,31,2
2755,31,2
1419,31,2
1371,31,2
6507,312,20
7116,47,3
5334,895,57
12256,63,4
11585,126,8
1316,221,14
8443,79,5
