
day_dt,buy_total_cnt,user_cnt,buy_user_cnt
2014-11-18,3730,6343,1539
2014-11-19,3686,6420,1511
2014-11-20,3462,6333,1492
2014-11-21,3021,6276,1330
2014-11-22,3570,6187,1411
2014-11-23,3347,6373,1436
2014-11-24,3426,6513,1524
2014-11-25,3464,6351,1497
2014-11-26,3573,6357,1487
2014-11-27,3670,6359,1527
2014-11-28,3218,6189,1442

day_dt,buy_total_cnt,user_cnt,buy_user_cnt
2014-11-29,3211,6224,1377
2014-11-30,3616,6379,1534
2014-12-01,3909,6544,1657
2014-12-02,3621,6550,1585
2014-12-03,3885,6585,1697
2014-12-04,3691,6531,1585
2014-12-05,3319,6367,1493
2014-12-06,3272,6440,1452
2014-12-07,3256,6422,1403
2014-12-08,3419,6564,1551

day_dt,buy_total_cnt,user_cnt,buy_user_cnt
2014-12-09,3449,6566,1429
2014-12-10,3216,6652,1442
2014-12-11,3226,6894,1449
2014-12-12,15251,7720,3897
2014-12-13,3478,6776,1549
2014-12-14,3483,6668,1506
2014-12-15,3764,6787,1627
2014-12-16,3771,6729,1650
2014-12-17,3615,6643,1570
2014-12-18,3586,6582,1552

