
behavior_type,hour,behavior_cnt
1,0,487341
3,0,14156
4,0,4845
2,0,11062
2,1,6276
1,1,252991
3,1,6712
4,1,1703
1,2,139139
4,2,806
3,2,3834
2,2,3311
2,3,2282
4,3,504
1,3,93250
3,3,2480
1,4,75832
3,4,2248
2,4,2010
4,4,397
1,5,83545
3,5,2213
2,5,2062
4,5,476
1,6,150356
2,6,3651
4,6,1023
3,6,3768
2,7,5885
3,7,7044
4,7,1938
1,7,272470

behavior_type,hour,behavior_cnt
1,8,374701
3,8,9970
2,8,7849
4,8,3586
1,9,456781
3,9,12956
2,9,10507
4,9,5707
2,10,11185
3,10,16203
1,10,515960
4,10,7317
4,11,7086
1,11,493679
3,11,15257
2,11,10918
4,12,6956
1,12,500036
2,12,9940
3,12,15025
1,13,561513
3,13,17419
2,13,11694
4,13,7717
1,14,558246
3,14,17067
2,14,11695
4,14,7207
4,15,7312
1,15,562238
3,15,17289
2,15,12010

behavior_type,hour,behavior_cnt
1,16,541846
3,16,16304
4,16,6930
2,16,11127
4,17,5298
1,17,476369
3,17,14515
2,17,9754
3,18,14823
2,18,10342
4,18,5140
1,18,517078
2,19,13952
3,19,18853
1,19,696035
4,19,6352
3,20,25021
4,20,7872
1,20,885669
2,20,16599
1,21,1030483
4,21,8829
3,21,30469
2,21,20397
3,22,32504
4,22,8845
2,22,20343
1,22,1027269
2,23,17705
1,23,797754
4,23,6359
3,23,27434

